"NominalFrequency","Frequency","VinAmplitude","VoutAmplitude","GainMeasured","GainTheoretical","PhaseMeasuredDeg","PhaseTheoreticalDeg","ZMeasuredAbs","ZMeasuredRe","ZMeasuredIm","ZTheoreticalAbs","ZTheoreticalRe","ZTheoreticalIm"
"0,5","0,472214553247478","1,61392458094049","1,07037360966567","0,663211665716082","0,666666653624952","0,00197246710137343","-0,0113331491301358","19692,2397810568","19692,2396781781","2,01291395037881","19999,9964787379","19999,9929574765","-11,868041992154"
"5","4,7197503578805","1,62185571256068","1,07568272501041","0,663241937417517","0,666665363821678","-0,00566712712671052","-0,113273861010571","19694,9083670738","19694,9075175636","-5,78463913874672","19999,6482401021","19999,296486391","-118,616091860246"
"10","9,42439779213633","1,53092064089645","1,07681223074471","0,703375604181658","0,666661471994968","0,0176814455551164","-0,226184372048865","23712,6597256589","23712,6468927065","24,6699554995643","19998,5975697725","19997,1952378855","-236,827734015186"
"25","23,6016842659395","1,48152717891187","1,08376861669319","0,731521251934899","0,666634089739078","0,0782630362024443","-0,566421969223406","27246,6380102885","27246,2853751913","138,622210832795","19991,2093838141","19982,4226313748","-592,653700415651"
"50","46,8341657920402","1,50223043240242","1,07756420753342","0,717309531408001","0,666538417011208","0,133633626007045","-1,12387581551378","25373,7603241971","25372,8967410777","209,341721607138","19965,4523205962","19930,9643183001","-1173,00797467476"
"100","95,1482682686688","1,62072722679908","1,07602540579131","0,663915178321805","0,666137806668481","-0,0841722618408466","-2,28235046823677","19754,2681041073","19754,0793822801","-86,3486393986423","19858,5525371433","19718,1054435241","-2357,63156335905"
"300","295,003525292127","1,60970735754275","1,06857430542202","0,663831410358477","0,66163431274421","-0,259427400079374","-7,04437419761974","19745,7901278533","19743,9991875578","-265,939570104508","18752,8855790388","17583,535877026","-6518,43413726484"
"2650","2697,07540322376","1,63235119125161","1,07926116700647","0,66116971200232","0,441866434755562","-2,23175977254653","-48,4862586824025","19428,6145787069","19300,9917630988","-2223,23669651548","5659,80240371577","1601,66816245534","-5428,44566579456"
"5300","5225,39428564285","1,23970535926919","1,06911401245522","0,862393636085811","0,277036144395968","21,7006626826015","-65,4457770106973","22952,3939230254","4076,63547884423","22587,4617868047","3011,08110126908","453,33046992099","-2976,76013199939"
"20700","20896,2136524045","1,63079926121065","0,947547413631247","0,581032525687937","0,0756722408456548","-13,7008592970504","-83,4824029132944","12721,6563945969","10877,3329183476","-6597,28504807992","761,093197562252","28,9631427687766","-760,541906627431"
"41600","41798,4560993916","1,63203021512459","0,842538326923436","0,516251671761553","0,0380147973495221","-16,6118220482512","-86,7310957039702","9807,06307058232","8234,75081547302","-5326,10224061142","380,698528484929","7,2465684795295","-380,629553287526"
